本業獲利,2018Q2,2018Q1,2017Q4,2017Q3,2017Q2,2017Q1
營業收入,2333,2481,2776,2521,2139,2339
營業成本,1217,1231,1389,1262,1051,1124
營業毛利,1116,1250,1387,1259,1088,1215
未實現銷貨損益,0.57,-,-0.33,-0.035,0.45,-
已實現銷貨損益,0,-1.17,-,-,-,0.04
營業毛利淨額,1115,1249,1387,1259,1087,1215
推銷費用,14.78,14.48,16.06,14.88,13.82,14.96
管理費用,50.71,48.52,60.18,50.04,49.27,52.48
研究發展費用,198.9,204.3,212.2,210.5,190.6,194.1
營業費用,264.4,267.3,288.4,275.4,253.7,261.6
其他收益及費損合計,-6.63,-13.02,-10.11,-2.87,-0.86,0.19
營業利益,844.3,968.3,1089,980.6,832.6,953.5
其他收入,37.3,31.55,27.51,21.29,26.26,21.05
其他利益及損失,-2.09,0.88,-0.89,4.25,4.57,5.15
財務成本,6.28,8.08,8.31,8.43,8.4,8.17
採用權益法認列之關聯企業及合資損益之份額,2.66,6.82,9.49,7.52,6.18,6.67
業外損益合計,31.59,31.17,27.8,24.62,28.62,24.7
稅前淨利,875.9,999.4,1117,1005,861.2,978.2
所得稅費用,152.9,101.6,123.7,105.7,198.5,102
繼續營業單位稅後損益,722.9,897.9,993.1,899.5,662.7,876.2
合併稅後淨利,722.9,897.9,993.1,899.5,662.7,876.2
歸屬於非控制權益之淨利,0.028,0.03,0.2,0.24,-0.004,-0.08
稅後淨利,722.9,897.8,992.9,899.3,662.7,876.3
確定福利計畫之再衡量數,-,-,-2.55,-,-,-
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-8.69,-0.2,0,0,0,0
避險工具之損益–不重分類至損益,-0.22,0.37,-,-,-,-
採用權益法認列之關聯企業及合資之其他綜合損益之份額–不重分類至損益,0.056,0.001,-0.21,0,0,0
與不重分類之項目相關之所得稅,0.028,-0.39,-0.31,0,0,0
不重分類至損益之項目合計,-8.89,0.57,-2.45,0,0,0
國外營運機構財務報表換算之兌換差額,203.1,-64.76,-74.87,-8.83,13.54,-212.4
備供出售金融資產未實現評價損益,-,-,-,-0.44,0.28,-0.93
避險工具之損益,-,-,-,0.2,0.19,0
透過其他綜合損益按公允價值衡量之債務工具投資未實現評價損益,-2.82,-7.27,0,0,0,0
採用權益法認列之關聯企業及合資之其他綜合損益之份額–可能重分類至損益,1.16,-0.39,-0.42,0.017,0.03,-0.62
與可能重分類之項目相關之所得稅,0,-,-,-0.012,-0.06,-0.46
後續可能重分類至損益之項目合計,201.4,-72.43,-77.31,-9.04,14.1,-213.5
其他綜合損益合計,192.6,-71.86,-79.76,-9.04,14.1,-213.5
綜合損益,915.5,826,913.3,890.5,676.8,662.7
綜合損益–歸屬於母公司,915.5,826,913.1,890.3,676.8,662.7
綜合損益–歸屬於非控制權益,0.032,0.053,0.2,0.16,0.009,-0.062
每股稅後盈餘(元),2.79,3.46,3.83,3.47,2.56,3.38
