本業獲利,2024Q2,2024Q1,2023Q4,2023Q3,2023Q2,2023Q1
營業收入,6735,5926,6255.0,5467,4808,5086
營業成本,3154,2781,2938.0,2501,2206,2221
營業毛利,3581,3145,3318.0,2966,2602,2865
營業毛利淨額,3581,3145,3318.0,2966,2602,2865
推銷費用,29.47,31.11,29.76,25.73,23.66,26.76
管理費用,192.9,161.4,182.4,150,141.6,134.8
研究發展費用,480.6,461.1,504.1,511.4,416.7,391.6
營業費用,703,653.6,716.2,687.1,581.9,553.1
其他收益及費損合計,-12.74,-1.3,0.58,1.31,-0.47,0.47
營業利益,2866,2490,2602.0,2281,2020,2312
利息收入,209.8,193.6,174.1,156,136.7,136.2
其他收入,2.03,0.72,0.76,0.78,2.38,0.88
其他利益及損失,0.58,-0.86,21.95,1.47,6.78,12.56
財務成本,26.38,26.98,29.19,31.12,30.05,29.64
採用權益法認列之關聯企業及合資損益之份額,11.52,8.78,13.15,11.67,11.34,10.39
業外損益合計,197.6,175.2,180.8,138.8,127.2,130.4
稅前淨利,3063,2665,2783.0,2419,2147,2443
所得稅費用,586.5,413.2,399.7,311.5,329.6,373.3
繼續營業單位稅後損益,2477,2252,2383.0,2108,1817,2069
合併稅後淨利,2477,2252,2383.0,2108,1817,2069
歸屬於非控制權益之淨利,-1.84,-2.64,-4.06,-2.05,-0.82,-0.38
稅後淨利,2478,2255,2387.0,2110,1818,2070
確定福利計畫之再衡量數,-,-,-6.23,-,-,-
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,7.6,49.03,9.67,-0.087,4.36,5.61
避險工具之損益–不重分類至損益,0,0,0.0,0,0.011,0.39
採用權益法認列之關聯企業及合資之其他綜合損益之份額–不重分類至損益,-0.008,-0.016,-0.2,1.08,-0.41,-0.044
與不重分類之項目相關之所得稅,0,0.1,-1.25,0,0,0
不重分類至損益之項目合計,7.59,48.92,4.48,0.99,3.96,5.95
國外營運機構財務報表換算之兌換差額,123.7,368.1,-430.6,276.4,61.58,-52.01
避險工具之損益,-0.2,-0.19,-0.19,-0.19,-0.18,-0.18
透過其他綜合損益按公允價值衡量之債務工具投資未實現評價損益,2.91,-5.58,55.78,-18.56,-9.51,13.52
採用權益法認列之關聯企業及合資之其他綜合損益之份額–可能重分類至損益,0.61,1.54,-1.74,1.87,0.74,-0.23
後續可能重分類至損益之項目合計,127.1,363.8,-376.7,259.5,52.63,-38.91
其他綜合損益合計,134.6,412.7,-372.3,260.5,56.59,-32.96
綜合損益,2611,2665,2011.0,2368,1874,2037
綜合損益–歸屬於母公司,2623,2674,2012.0,2373,1882,2038
綜合損益–歸屬於非控制權益,-11.39,-9.03,-1.22,-4.41,-8.11,-1.81
每股稅後盈餘(元),9.56,8.7,9.21,8.14,7.01,7.98
