本業獲利,2019Q4,2019Q3,2019Q2,2019Q1,2018Q4,2018Q3
營業收入,3172,2930,2410,2187,2898,2603
營業成本,1580,1536,1373,1284,1517,1370
營業毛利,1592,1394,1037,903.5,1380,1234
未實現銷貨損益,-,-,-,-,-,0.14
已實現銷貨損益,-0.43,-0.2,0.57,0.054,0,0
營業毛利淨額,1592,1394,1037,903.6,1381,1234
推銷費用,18.09,15.97,14.83,14.6,14.76,15.86
管理費用,74.98,58.1,42.88,41.41,56.87,46.57
研究發展費用,256.4,239.7,213.9,204.2,236.9,218.9
營業費用,349.4,313.8,271.6,260.2,308.5,281.3
其他收益及費損合計,-0.16,-1.46,-2.61,-0.74,-1.44,0.07
營業利益,1242,1079,763,642.7,1071,952.5
利息收入,33.18,39.16,45.47,-,-,-
其他收入,1.71,0.02,2.44,44.09,41.51,38.17
其他利益及損失,8.27,4.59,-3.14,-0.28,-4.28,-4.24
財務成本,6.44,8.43,8.65,8.99,8.76,7.39
採用權益法認列之關聯企業及合資損益之份額,8.66,9.16,6.29,4.33,11.12,9.98
業外損益合計,45.38,44.49,42.41,39.16,39.59,36.52
稅前淨利,1288,1123,805.5,681.8,1111,989
所得稅費用,127,112.3,137.7,67.94,110.8,97.99
繼續營業單位稅後損益,1161,1011,667.8,613.9,1000,891
合併稅後淨利,1161,1011,667.8,613.9,1000,891
歸屬於非控制權益之淨利,0.43,0.33,0.11,-0.065,0.21,0.26
稅後淨利,1160,1011,667.6,613.9,999.8,890.7
確定福利計畫之再衡量數,2.54,-,-,-,-8.61,-
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,1.15,-0.09,1.75,0.54,-20.02,-4.18
避險工具之損益–不重分類至損益,-0.34,-0.87,1.07,-0.95,0.17,0.085
採用權益法認列之關聯企業及合資之其他綜合損益之份額–不重分類至損益,-0.041,-0.033,-0.11,0.002,-0.1,-0.097
與不重分類之項目相關之所得稅,0.31,-0.15,-0.13,0.18,-1.29,-0.3
不重分類至損益之項目合計,3,-0.85,2.83,-0.59,-27.27,-3.89
國外營運機構財務報表換算之兌換差額,-169.1,-32.87,22.9,32.18,41.87,-34.58
透過其他綜合損益按公允價值衡量之債務工具投資未實現評價損益,-0.1,1.92,9.36,14.48,1.69,-0.31
採用權益法認列之關聯企業及合資之其他綜合損益之份額–可能重分類至損益,-1.2,-0.46,0.17,0.083,0.2,-0.038
後續可能重分類至損益之項目合計,-170.4,-31.4,32.43,46.75,43.76,-34.92
其他綜合損益合計,-167.4,-32.25,35.26,46.16,16.49,-38.81
綜合損益,993.4,978.8,703,660,1017,852.2
綜合損益–歸屬於母公司,992.9,978.4,702.9,660.1,1016,851.9
綜合損益–歸屬於非控制權益,0.43,0.33,0.11,-0.065,0.21,0.27
每股稅後盈餘(元),4.48,3.9,2.57,2.37,3.86,3.44
