本業獲利,2022Q4,2022Q3,2022Q2,2022Q1,2021Q4,2021Q3
營業收入,6255.0,6131,5341,4911,4382.0,4147
營業成本,2363.0,2426,2187,2179,2074.0,2019
營業毛利,3892.0,3705,3155,2732,2308.0,2127
營業毛利淨額,3892.0,3705,3155,2732,2308.0,2127
推銷費用,29.91,27.1,21.57,20.63,19.9,18.53
管理費用,169.6,145,115.7,105,136.5,89.3
研究發展費用,445.9,429.8,396.5,360.5,322.4,308.7
營業費用,645.4,601.9,533.7,486.1,478.8,416.5
其他收益及費損合計,3.91,0.12,0.3,-8.02,-1.05,-0.93
營業利益,3250.0,3103,2621,2238,1828.0,1710
利息收入,105.9,66.15,35.46,16.74,14.63,13.57
其他收入,0.062,1.21,5.12,3.08,1.6,1.56
其他利益及損失,6.33,9.23,4.63,14.75,9.47,11.57
財務成本,33.35,33.7,29.04,21.41,21.74,13.34
採用權益法認列之關聯企業及合資損益之份額,17.37,20.78,22.58,17.25,16.51,15.13
業外損益合計,96.29,63.67,38.75,30.42,20.47,28.48
稅前淨利,3347.0,3167,2660,2268,1848.0,1739
所得稅費用,387.9,357.2,288.2,239.6,184.5,173.7
繼續營業單位稅後損益,2959.0,2810,2372,2029,1664.0,1565
合併稅後淨利,2959.0,2810,2372,2029,1664.0,1565
歸屬於非控制權益之淨利,-0.26,1.03,1.53,1.4,1.41,2.21
稅後淨利,2959.0,2809,2370,2027,1662.0,1563
確定福利計畫之再衡量數,-8.23,-,-,-,2.42,-
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-3.32,-1.04,-1.44,3.16,8.19,2.64
採用權益法認列之關聯企業及合資之其他綜合損益之份額–不重分類至損益,0.78,0.21,0.11,0.44,-0.52,0.17
與不重分類之項目相關之所得稅,-7.34,0,-0.002,0,0.29,0.002
不重分類至損益之項目合計,-3.44,-0.82,-1.32,3.6,9.8,2.81
國外營運機構財務報表換算之兌換差額,-172.4,348.7,138.7,193.5,-25.45,-5.42
避險工具之損益,-0.18,0.05,6.49,6.94,1.32,0
透過其他綜合損益按公允價值衡量之債務工具投資未實現評價損益,11.61,-29.74,-31.84,-51.05,-12.22,-4.2
採用權益法認列之關聯企業及合資之其他綜合損益之份額–可能重分類至損益,-0.41,3,1.27,1.64,-0.19,-0.27
與可能重分類之項目相關之所得稅,0.0,0,-0.53,0.47,0.034,0
後續可能重分類至損益之項目合計,-161.4,322,115.1,150.5,-36.58,-9.88
其他綜合損益合計,-164.8,321.2,113.8,154.1,-26.78,-7.07
綜合損益,2794.0,3131,2486,2183,1637.0,1558
綜合損益–歸屬於母公司,2789.0,3129,2490,2183,1636.0,1555
綜合損益–歸屬於非控制權益,4.93,2.01,-4.89,0.009,1.43,2.22
每股稅後盈餘(元),11.41,10.83,9.14,7.82,6.41,6.03
